voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,15.450999999999999,4.684,8726.2
-75.0,15.450999999999999,4.684,6396.1
-70.0,15.450999999999999,4.684,68633.0
-65.0,15.450999999999999,4.684,9806.4
-60.0,15.450999999999999,4.684,12869.0
-55.0,15.450999999999999,4.684,4638.0
-50.0,15.450999999999999,4.684,13200.0
-45.0,15.450999999999999,4.684,9193.5
-40.0,15.450999999999999,4.684,4833.8
-35.0,15.450999999999999,4.684,3885.6
-30.0,15.450999999999999,4.684,5506.1
-25.0,15.450999999999999,4.684,5390.4
-20.0,15.450999999999999,4.684,15365.0
-15.0,15.450999999999999,4.684,6642.7
-10.0,15.450999999999999,4.684,7150.5
-5.0,15.450999999999999,4.684,5047.3
0.0,15.450999999999999,4.684,5849.8
5.0,15.450999999999999,4.684,8725.5
10.0,15.450999999999999,4.684,6356.1
15.0,15.450999999999999,4.684,6240.7
20.0,15.450999999999999,4.684,7354.9
25.0,15.450999999999999,4.684,5751.9
30.0,15.450999999999999,4.684,7354.2
35.0,15.450999999999999,4.684,19067.0
